Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
06/10/2026 11:00 AM ET,"6043 SW 63RD ST OCALA, FL- 34474","$145,764.40","$137,885.00","$151,788.07",422025CA000756CAAXMX,2530014,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA000756CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2530014
06/10/2026 11:00 AM ET,"17816 SE 115TH CT SUMMERFIELD, FL- 34491","$296,928.13","$243,793.00","$268,960.00",422025CA001173CAAXMX,2768258,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA001173CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2768258
06/10/2026 11:00 AM ET,"10110 SE 169TH LN SUMMERFIELD, FL- 34491","$3,683.14","$37,809.00","$3,683.14",422025CC000078CCAXMX,1150213,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CC000078CCAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1150213
06/11/2026 11:00 AM ET,"16397 SW 48TH CIR OCALA, FL- 34473","$363,589.78","$336,312.00","$363,589.78",422025CA002090CAAXMX,2109831,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002090CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2109831
06/11/2026 11:00 AM ET,"9135 SW 104TH PL OCALA, FL- 34481","$152,245.67","$65,049.00","$152,245.67",422025CA002210CAAXMX,1785928,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002210CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1785928
06/15/2026 11:00 AM ET,"71 ALMOND DR OCALA, FL- 34472","$165,952.39","$225,133.00","$165,952.39",422024CA001861CAAXMX,1427207,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422024CA001861CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1427207
06/15/2026 11:00 AM ET,"747 MARION OAKS LN OCALA, FL- 34473","$164,454.67","$112,895.00",Hidden,422025CA001987CAAXMX,1670306,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA001987CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1670306
06/15/2026 11:00 AM ET,"2310 SE 22ND LOOP OCALA, FL- 34471","$333,959.52","$383,563.00","$333,959.52",422025CA002044CAAXMX,2963212,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002044CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2963212
06/16/2026 11:00 AM ET,"22764 SW 117TH PL DUNNELLON, FL- 34431","$40,658.37","$90,923.00","$40,658.37",422025CA002153CAAXMX,2538724,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002153CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2538724
06/17/2026 11:00 AM ET,"463 SPRING LN OCALA, FL- 34472","$152,966.28","$154,945.00","$152,966.28",422024CA000511CAAXMX,1495369,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422024CA000511CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1495369
06/17/2026 11:00 AM ET,"80 NE 70TH TER OCALA, FL- 34470","$148,141.99","$45,562.00","$148,141.99",422024CA001278CAAXMX,730092,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422024CA001278CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/730092
06/17/2026 11:00 AM ET,"18627 NW 24TH AVE CITRA, FL- 32113","$258,762.23","$162,441.00","$167,900.00",422025CA002540CAAXMX,45250,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002540CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/45250
06/17/2026 11:00 AM ET,"1237 SE 43RD RD OCALA, FL- 34480","$7,254.35","$366,043.00","$7,254.35",422025CC002616CCAXMX,30598-06-055,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CC002616CCAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/30598-06-055
06/22/2026 11:00 AM ET,"13920 SW 61ST PLACE RD OCALA, FL- 34481","$118,405.44","$128,961.00","$118,405.44",422025CA000420CAAXMX,1792681,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA000420CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1792681
06/22/2026 11:00 AM ET,"11057 SE 132ND PL OCKLAWAHA, FL- 32179","$119,797.04","$162,405.00","$119,797.04",422025CA002453CAAXMX,3698452,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002453CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/3698452
06/22/2026 11:00 AM ET,"150 SW 98TH LN OCALA, FL- 34476","$394,925.11","$190,724.00","$394,925.11",422025CA002778CAAXMX,916005,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002778CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/916005
06/22/2026 11:00 AM ET,"2555 SE 67TH ST OCALA, FL- 34480","$175,610.26","$156,927.00","$175,610.26",422025CA002815CAAXMX,1782945,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002815CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1782945
06/23/2026 11:00 AM ET,"3015 NE 146TH CT SILVER SPRINGS, FL- 34488","$231,696.16","$105,025.00","$231,696.16",422025CA001567CAAXMX,735639,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA001567CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/735639
06/23/2026 11:00 AM ET,"5437 SE 70TH AVE OCALA, FL- 34472","$198,117.70","$217,440.00","$198,117.70",422025CA001636CAAXMX,1406552,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA001636CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1406552
06/23/2026 11:00 AM ET,"NO SITUS OCALA, FL- 34473","$73,001.52","$5,832.00","$73,001.52",422025CC003347CCAXMX,1870593,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CC003347CCAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1870593
06/24/2026 11:00 AM ET,"12807 SW 73RD AVENUE RD OCALA, FL- 34473","$255,243.43","$240,647.00","$255,243.43",422025CA001535CAAXMX,2155400,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA001535CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2155400
06/25/2026 11:00 AM ET,"5639 SW 196TH AVE DUNNELLON, FL- 34431","$151,344.46","$203,580.00","$151,344.46",422024CA001648CAAXMX,1684854,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422024CA001648CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1684854
06/29/2026 11:00 AM ET,"33 EMERALD DR OCALA, FL- 34472","$127,669.13","$233,556.00","$127,669.13",422024CA001928CAAXMX,1338867,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422024CA001928CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1338867
06/29/2026 11:00 AM ET,"240 SE 165TH COURT RD SILVER SPRINGS, FL- 34488","$95,922.21","$131,457.00","$95,922.21",422025CA000198CAAXMX,3079833,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA000198CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/3079833
06/29/2026 11:00 AM ET,"7722 SW 117TH STREET RD OCALA, FL- 34476","$245,101.75","$218,435.00",Hidden,422025CA002278CAAXMX,2761539,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002278CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2761539
06/29/2026 11:00 AM ET,"445 SPRING DR OCALA, FL- 34472","$210,767.22","$158,741.00","$210,767.22",422025CA002883CAAXMX,1495016,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002883CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/1495016
06/29/2026 11:00 AM ET,"8175 SW 109TH STREET RD OCALA, FL- 34481","$207,102.06","$137,593.00","$207,102.06",422025CA002890CAAXMX,2277319,https://marion.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=422025CA002890CAAXMX&bypassPage=1,https://pcpao.gov/Parcel-Details/2277319
