Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-18T20:15:27,NEW,422023CA002870CAAXXX,04/20/2026 11:00 AM ET,"8484 SW 108TH ST OCALA, FL- 34481","$311,639.00","$233,179.00","$180,707.50",2643391
2026-04-18T20:15:27,NEW,422024CA001422CAAXMX,04/20/2026 11:00 AM ET,"9537 SW 53RD CIR OCALA, FL- 34476","$320,326.20","$198,232.00","$320,326.20",3337166
2026-04-18T20:15:27,NEW,422025CA001613CAAXMX,04/20/2026 11:00 AM ET,"5031 SW 97TH PL OCALA, FL- 34476","$203,749.04","$185,683.00","$203,831.33",3666062
2026-04-18T20:15:27,NEW,422025CA001046CAAXMX,04/21/2026 11:00 AM ET,"4600 NE 22ND AVE OCALA, FL- 34479","$187,268.65","$192,489.00",Hidden,296686
2026-04-18T20:15:27,NEW,422025CA001780CAAXMX,04/21/2026 11:00 AM ET,"NO SITUS CITRA, FL- 32113","$242,066.28","$35,982.00",Hidden,173380
2026-04-18T20:15:27,NEW,422024CA001943CAAXMX,04/22/2026 11:00 AM ET,"6043 SW 63RD ST OCALA, FL- 34474","$64,173.07","$137,885.00","$64,173.07",2530014
2026-04-18T20:15:27,NEW,422025CA000355CAAXMX,04/22/2026 11:00 AM ET,"6345 AVENUE G MCINTOSH, FL- 32664","$264,182.17","$65,522.00",Hidden,Property
2026-04-18T20:15:27,NEW,422025CA002150CAAXMX,04/22/2026 11:00 AM ET,"12841 SE 103RD TER BELLEVIEW, FL- 34420","$111,817.83","$125,658.00","$111,817.83",1094852
2026-04-18T20:15:27,NEW,422024CA001061CAAXMX,04/23/2026 11:00 AM ET,"00 NE 239TH PL FORT MCCOY, FL- 32134","$14,583.92","$6,340.00","$14,583.92",5193
2026-04-18T20:15:27,NEW,422023CA002191CAAXXX,04/27/2026 11:00 AM ET,"17440 SE 66TH AVE SUMMERFIELD, FL- 34491","$139,131.95","$66,131.00","$139,131.95",1165521
2026-04-18T20:15:27,NEW,422023CA003154CAAXXX,04/27/2026 11:00 AM ET,"5420 NW 3RD ST OCALA, FL- 34482","$230,814.63","$184,890.00","$230,814.63",566730
2026-04-18T20:15:27,NEW,422025CA000014CAAXMX,04/27/2026 11:00 AM ET,"2724 NE 26TH ST OCALA, FL- 34470","$365,814.65","$141,517.00","$365,814.65",3251172
2026-04-18T20:15:27,NEW,422025CA001635CAAXMX,04/28/2026 11:00 AM ET,"1794 SW 161ST PL OCALA, FL- 34473","$137,960.65","$171,885.00","$137,960.65",1300002
2026-04-18T20:15:27,NEW,422024CC001170CCAXMX,04/29/2026 11:00 AM ET,"20034 SW RAINBOW LAKES BLVD DUNNELLON, FL- 34431","$74,904.77","$119,215.00","$74,904.77",363766
2026-04-18T20:15:27,NEW,422023CA003181CAAXXX,04/30/2026 11:00 AM ET,"14361 SE 107TH AVE SUMMERFIELD, FL- 34491","$440,916.51","$333,102.00","$440,916.51",1113512
2026-04-18T20:15:27,NEW,422025CA000728CAAXMX,04/30/2026 11:00 AM ET,"11140 SW 75TH AVE OCALA, FL- 34476","$172,798.52","$125,040.00","$172,798.52",2341742
